series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
House,Pilot,8.7,"3,125",1,/title/tt0606011/,0.013293051359516616,0.27613293051359517,0.002416918429003021,0.002416918429003021,0.0030211480362537764,0.021148036253776436,0.022356495468277945,0.09909365558912386,0.29244712990936556,0.2676737160120846,1,1,NA
House,Paternity,8.4,"2,101",2,/title/tt0606012/,0.030227743271221533,0.5312629399585921,0.002070393374741201,4.1407867494824016e-4,0.002484472049689441,0.012422360248447204,0.012008281573498964,0.03561076604554866,0.11180124223602485,0.2616977225672878,1,2,NA
House,Occam's Razor,8.4,"1,968",3,/title/tt0606013/,0.05317324185248713,0.38078902229845624,0.002858776443682104,0,0.003430531732418525,0.016009148084619784,0.010291595197255575,0.05088622069754145,0.16981132075471697,0.3127501429388222,1,3,NA
House,Maternity,8.5,"1,884",4,/title/tt0606014/,0.01866977829638273,0.3401400233372229,0.002333722287047841,0.001750291715285881,0.003500583430571762,0.01575262543757293,0.015169194865810968,0.0764294049008168,0.2117852975495916,0.3144690781796966,1,4,NA
House,Damned If You Do,8.4,"1,845",5,/title/tt0606015/,0.014796547472256474,0.24475955610357583,0.0012330456226880395,0.0012330456226880395,0.004315659679408138,0.02527743526510481,0.027743526510480888,0.13501849568434032,0.3366214549938348,0.20900123304562268,1,5,NA
House,The Socratic Method,8.6,"1,781",6,/title/tt0606016/,0.028901734104046242,0.3557540725170783,0.0021019442984760903,5.254860746190226e-4,0.0036784025223331584,0.0162900683131897,0.014713610089332634,0.061481870730425645,0.19390436153441934,0.3226484498160799,1,6,NA
House,Fidelity,8.4,"1,753",7,/title/tt0606017/,0.013736263736263736,0.22115384615384615,0.0027472527472527475,0.0020604395604395605,0.004807692307692308,0.02197802197802198,0.03914835164835165,0.13804945054945056,0.35714285714285715,0.19917582417582416,1,7,NA
House,Poison,8.3,"1,678",8,/title/tt0606018/,0.014634146341463415,0.24769647696476965,0.001084010840108401,0.0016260162601626016,0.005962059620596206,0.020596205962059622,0.03360433604336043,0.13224932249322494,0.31978319783197834,0.22276422764227644,1,8,NA
House,DNR,8.8,"1,903",9,/title/tt0606019/,0.014716187806587245,0.271198318149965,0.002803083391730904,0.00350385423966363,0.00350385423966363,0.0189208128941836,0.018220042046250877,0.10581639803784162,0.26278906797477225,0.2985283812193413,1,9,NA
House,Histories,8.6,"1,709",10,/title/tt0606020/,0.018323153803442533,0.3464741810105497,0.002220988339811216,5.55247084952804e-4,0.004441976679622432,0.01665741254858412,0.015546918378678512,0.07273736812881733,0.1943364797334814,0.32870627429205995,1,10,NA
House,Detox,8.8,"1,800",11,/title/tt0606021/,0.014905149051490514,0.296070460704607,0.0033875338753387536,6.775067750677507e-4,0.0027100271002710027,0.02100271002710027,0.023035230352303523,0.0975609756097561,0.25609756097560976,0.2845528455284553,1,11,NA
