series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Battlestar Galactica,33,8.5,"1,920",1,/title/tt0519761/,0.03178738926524231,0.3251693590411673,0.03335070349140177,0.006253256904637832,0.0020844189682126106,0.014069828035435123,0.03230849400729546,0.0979676915059927,0.21938509640437728,0.2376237623762376,1,1
Battlestar Galactica,Water,7.7,"1,435",2,/title/tt0519762/,0.04309063893016345,0.16790490341753342,0.02674591381872214,0.005200594353640416,0.011144130757800892,0.020802377414561663,0.0713224368499257,0.2199108469539376,0.3075780089153046,0.1263001485884101,1,2
Battlestar Galactica,Bastille Day,7.5,"1,387",3,/title/tt0519763/,0.04112554112554113,0.15223665223665223,0.02886002886002886,0.008658008658008658,0.008658008658008658,0.030303030303030304,0.08585858585858586,0.26262626262626265,0.2741702741702742,0.1075036075036075,1,3
Battlestar Galactica,Act of Contrition,7.7,"1,346",4,/title/tt0519764/,0.08553157474020784,0.10311750599520383,0.050359712230215826,0.03996802557953637,0.05515587529976019,0.10711430855315747,0.20303756994404476,0.21422861710631494,0.09832134292565947,0.04316546762589928,1,4
Battlestar Galactica,You Can't Go Home Again,8.1,"1,368",5,/title/tt0519765/,0.05054759898904802,0.15838247683235046,0.02527379949452401,0.009267059814658803,0.011794439764111205,0.030328559393428812,0.08761583824768324,0.2552653748946925,0.2645324347093513,0.10699241786015164,1,5
Battlestar Galactica,Litmus,7.6,"1,266",6,/title/tt0519766/,0.039740470397404706,0.29927007299270075,0.023519870235198703,0.012976480129764802,0.006488240064882401,0.009732360097323601,0.030819140308191405,0.1070559610705596,0.2546634225466342,0.21573398215733983,1,6
Battlestar Galactica,Six Degrees of Separation,7.7,"1,260",7,/title/tt0519767/,0.042134831460674156,0.1301498127340824,0.03838951310861423,0.009363295880149813,0.02153558052434457,0.025280898876404494,0.10861423220973783,0.27715355805243447,0.25,0.09737827715355805,1,7
Battlestar Galactica,Flesh and Bone,7.9,"1,271",8,/title/tt0519768/,0.04163052905464007,0.1647875108412836,0.04336513443191674,0.019080659150043366,0.012142237640936688,0.03555941023417172,0.08065915004336513,0.2367736339982654,0.2445793581960104,0.12142237640936687,1,8
Battlestar Galactica,"Tigh Me Up, Tigh Me Down",7.5,"1,242",9,/title/tt0519769/,0.03855232100708104,0.2014162077104642,0.02989771833202203,0.011801730920535013,0.004720692368214005,0.01809598741148702,0.059008654602675056,0.14634146341463414,0.3154996066089693,0.17466561762391816,1,9
Battlestar Galactica,The Hand of God,8.3,"1,268",10,/title/tt0519770/,0.045863309352517985,0.20593525179856115,0.02877697841726619,0.006294964028776978,0.01079136690647482,0.01618705035971223,0.03237410071942446,0.13758992805755396,0.30935251798561153,0.2068345323741007,1,10
Battlestar Galactica,Colonial Day,7.5,"1,187",11,/title/tt0519771/,0.04869251577998197,0.1659152389540126,0.027051397655545536,0.014427412082957619,0.005410279531109108,0.018935978358881875,0.05229936880072137,0.21370604147880973,0.30928764652840396,0.1442741208295762,1,11
Battlestar Galactica,Kobol's Last Gleaming: Part 1,8.2,"1,225",12,/title/tt0519772/,0.051329055912007336,0.17506874427131072,0.02841429880843263,0.01008249312557287,0.005499541704857928,0.01833180568285976,0.04124656278643447,0.1759853345554537,0.34280476626947753,0.15123739688359303,1,12
Battlestar Galactica,Kobol's Last Gleaming: Part 2,8.7,"1,306",13,/title/tt0519773/,0.04289544235924933,0.22430741733690795,0.03127792672028597,0.01161751563896336,0.0035746201966041107,0.017873100983020553,0.024128686327077747,0.11796246648793565,0.3199285075960679,0.2064343163538874,1,13
Battlestar Galactica,Scattered,8.1,"1,182",14,/title/tt0519774/,0.0473469387755102,0.26040816326530614,0.025306122448979593,0.005714285714285714,0.00816326530612245,0.010612244897959184,0.03918367346938775,0.09959183673469388,0.2946938775510204,0.2089795918367347,2,1
Battlestar Galactica,Valley of Darkness,7.8,"1,142",15,/title/tt0519775/,0.045941807044410414,0.3782542113323124,0.026033690658499236,0.008422664624808576,0.005359877488514548,0.011485451761102604,0.026033690658499236,0.052833078101071976,0.1807044410413476,0.2649310872894334,2,2
Battlestar Galactica,Fragged,7.7,"1,108",16,/title/tt0519776/,0.04537037037037037,0.2037037037037037,0.026851851851851852,0.013888888888888888,0.003703703703703704,0.01574074074074074,0.05,0.15185185185185185,0.32592592592592595,0.16296296296296298,2,3
Battlestar Galactica,Resistance,7.9,"1,110",17,/title/tt0519777/,0.03779527559055118,0.36141732283464567,0.031496062992125984,0.006299212598425197,0.005511811023622047,0.011811023622047244,0.01889763779527559,0.06850393700787402,0.18740157480314962,0.27086614173228346,2,4
Battlestar Galactica,The Farm,7.6,"1,095",18,/title/tt0519778/,0.04186413902053712,0.13902053712480253,0.030015797788309637,0.008688783570300158,0.010268562401263823,0.019747235387045814,0.08135860979462875,0.27014218009478674,0.2914691943127962,0.10742496050552923,2,5
Battlestar Galactica,Home: Part 1,7.8,"1,091",19,/title/tt0519779/,0.02679830747531735,0.4301833568406206,0.028208744710860368,0.009167842031029619,0.004936530324400564,0.011988716502115656,0.01622002820874471,0.045133991537376586,0.14880112834978843,0.27856135401974613,2,6
Battlestar Galactica,Home: Part 2,8.1,"1,119",20,/title/tt0519780/,0.04144144144144144,0.16936936936936936,0.03513513513513514,0.011711711711711712,0.009009009009009009,0.015315315315315315,0.04054054054054054,0.15945945945945947,0.3396396396396396,0.1783783783783784,2,7
Battlestar Galactica,Final Cut,7.4,"1,153",21,/title/tt0519781/,0.03896103896103896,0.3262987012987013,0.027597402597402596,0.007305194805194805,0.00487012987012987,0.007305194805194805,0.017857142857142856,0.0762987012987013,0.2021103896103896,0.2913961038961039,2,8
