series_name, imdb_id
Sense8,tt2431438
Mr Robot,tt4158110
13 Reasons Why,tt1837492
Sherlock,tt1475582 
How to Get Away with Murder,tt3205802
Orphan Black,tt2234222
Game of Thrones,tt0944947
The Walking Dead,tt1520211
Scandal,tt1837576
Modern Family,tt1442437
Vikings,tt2306299
Narcos,tt2707408
Stranger Things,tt4574334
Black Mirror,tt2085059
Breaking Bad,tt0903747
Dexter,tt0773262
House of Cards,tt1856010
Grey’s Anatomy,tt0413573
The 100,tt2661044
Arrow,tt2193021
Gotham,tt3749900
Daredevil,tt3322312
Agents of S.H.I.E.L.D.,tt2364582
The Flash,tt3107288
Once Upon a Time,tt1843230
Supernatural,tt0460681
Prison Break,tt0455275
The Blacklist,tt2741602
Friends,tt0108778
Homeland,tt1796960
The Simpsons,tt0096697
How I Met Your Mother,tt0460649
Leverage,tt1103987
Bored To Death,tt1255913
The Chicago Code,tt1620950
Beauty and the Beast,tt2771200
Him e Her,tt5179408
Impastor,tt4543708
The Royals,tt3597912
Sanctuary,tt0965394
The Lost World,tt0119567
King e Maxwell,tt2402129
Crazy Ex-Girlfriend,tt4094300
The Musketeer,tt0246544
Work It,tt1826951
Halt & Catch Fire,tt1397046
Slasher,tt4667888
Suits,tt1632701
Boardwalk Empire,tt0979432
Fear,tt0116287
Transporter,tt0293662
The Player,tt0105151
Outsiders,tt4816626
The Lying Game,tt1798274
The Man in the High Castle,tt1740299
Dickensian,tt4531728
Weeds,tt0439100
Kingdom,tt3673794
Forever,tt3487382
Scream,tt3921180
100 Questions,tt1441093
Rookie Blue,tt1442065
Sequestered,tt3739118
Being Human US,tt1595680
Secret Diary of a Call Girl,tt1000734
Accidentally on Purpose,tt1441096
Hell on Wheels,tt1699748
Agent X,tt3499120
Til Death,tt0783598
Angel,tt0162065
Mortal Kombat Legacy,tt2106554
Covert Affairs,tt1495708
Boss,tt1355631
Bad Judge,tt2769470
Magic City,tt1832045
Suburgatory,tt1741256
Third Watch,tt0197182
10 Things I Hate About You,tt0147800
Second Chance,tt4378456
Damien,tt4337944
Mandrake,tt1523367
The Client List,tt2022170
Crossing Jordan,tt0284718
Girls,tt1723816
Salem,tt2963254
Stargate SG-1,tt0118480
Rizzoli And Isles,tt1551632
The Americans,tt2149175
Transformers Prime,tt1659175
Awkward,tt1663676
Sherlock Holmes,tt0988045
Novos EpisÃ³dios,tt0076759
Dates,tt2964118
Anger Management,tt1986770
Jonas L.A.,tt1044418
Merlin,tt1199099
The Last Enemy,tt0966151
The Mentalist,tt1196946
Taken,tt5052460
The Big Bang Theory,tt0898266
Are You There,tt1826989
Monk,tt0312172
Siberia,tt6494418
Franklin And Bash,tt1600199
Ashes to Ashes,tt1008108
Roma,tt0384766
Tru Calling,tt0364817
Nikita,tt1592154
Mistresses,tt2295809
Happy Town,tt1379722
Ironside,tt0061266
Invasion,tt0120201
Secrets & Lies,tt0120323
The Knick,tt2937900
Ice Age Giants,tt2934994
American Dad,tt0397306
Back In The Game,tt2083383
The Hour,tt1778108
American Idol,tt0319931
Secret Girlfriend,tt1435958
Turn,tt2543328
Dollhouse,tt1135300
Stalker,tt0079944
Cupid,tt1143289
Jack e Jill,tt0810913
Alphas,tt1183865
Events,tt0210031
Against The Wall,tt0347048
O NegÃ³cio,tt2650940
Jekyll & Hyde,tt5697510
hackathons,tt3025186
Thirteen,tt0328538
Black-ish,tt3487356
Ugly Americans,tt0370194
Death,tt1822203
CSI Miami,tt0313043
Medium,tt0412175
Greek,tt0976014
2 Broke Girls,tt1845307
Bedlam,tt1822448
Everybody Loves Raymond,tt0115167
Into The Badlands,tt3865236
IZombie,tt3501584
Royal Pains,tt1319735
Chase,tt1582458
The Borgias,tt1582457
The Event,tt1582459
Dark Blue,tt0279331
The Real L Word,tt1561756
Being Erica,tt1149608
Silk,tt1717455
Blue Mountain State,tt1344204
Dads,tt2647548
Love Bites,tt1582454
Cult,tt2193053
Reign,tt2710394
Sleepy Hollow,tt2647544
Camelot,tt1672189
Blue Bloods,tt1595859
Marvel: Agents Of S.H.I.E.L.D,tt4501242
No Ordinary Family,tt1591493
Nip/Tuck,tt0361217
Ncis,tt0364845
Ash vs. Evil Dead,tt5166592
The Magicians,tt4254242
Thundercats,tt0088631
Constantine,tt0360486
Security,tt3501112
The Listener,tt1181541
Two And a Half Men,tt0369179
Terra Nova,tt1641349
Hung,tt1229413
A To Z,tt3216682
The Cleveland Show,tt1195935
Legends,tt2402137
Shattered,tt0489664
Gravity,tt1454468
New Girl,tt1826940
Warehouse 13,tt1132290
The Bastard Executioner,tt4218618
Breaking In,tt1630574
The Family,tt2404311
Saving Hope,tt1954804
Accused,tt1800338
Lie to me,tt1235099
Fairly Legal,tt1586676
Dark Angel,tt0204993
The Catch,tt4396862
The Pacific,tt0374463
Revolution,tt2070791
The Confession,tt2317171
House,tt0412142
Justified,tt1489428
Resurrection,tt3231054
Thorne: Sleepyhead,tt1610518
True Blood,tt0844441
Mercy,tt5710042
The Following,tt2071645
Power,tt3281796
Crowded,tt4478002
Dragon Ball Super,tt4644488
Hamarinn (The Cliff),tt1513056
Bitten,tt2365946
Major Crimes,tt1936532
Private Practice,tt0972412
Icarly,tt0972534
Up All Night,tt1843323
Veronica Mars,tt0412253
Skins US,tt0840196
Chicago Med,tt4655480
The White Queen,tt2372220
Scorpion,tt3514324
One Piece,tt0388629
Baby Daddy,tt2177489
Significant Mother,tt3924978
Young & Hungry,tt5280626
Workaholics,tt1610527
Cuckoo,tt2222352
Defiance,tt2189221
Heroes,tt0813715
The Closer,tt0458253
Steven Seagal: Lawman,tt1329291
American Crime,tt3488298
The Mindy Project,tt2211129
Bosch,tt3502248
Gossip Girl,tt0397442
Touch,tt1821681
Body Of Proof,tt1587669
Haven,tt1519931
Yu Yu Hakusho,tt0185133
Nurse Jackie,tt1190689
Store,tt0903649
The Crimson Petal And The White,tt0384013
Angel From Hell,tt4424726
Under The Dome,tt1553656
The Office,tt0386676
Trinity,tt1283456
Eye Candy,tt3186162
The Forgotten,tt4192812
Paranormal Witness,tt1874066
Stargate Stlantis,tt0374455
Empire,tt3228904
Human Planet,tt1806234
wp10,tt0350384
Criminal Minds Beyond Borders,tt4364202
The Librarians,tt3663490
Drake e Josh,tt0363328
The O.C.,tt0362359
Identity,tt0309698
Shameless UK,tt1586680
K Ville,tt2281375
Hellcats,tt1596356
Extant,tt3155320
Through The Wormhole,tt1513168
The Originals,tt2632424
Stitchers,tt3868848
Dark Matter,tt4159076
I Hate My Teenage Daughter,tt1819545
Femme Fatales,tt1841108
The Odd Couple,tt3595776
The Last Ship,tt2402207
American Horror Story,tt1844624
The Night Manager,tt1399664
a Patroa e as CrianÃ§as,tt0273855
Transparent,tt3502262
The Astronaut Wives Club,tt3530726
Flashpoint,tt1059475
Lost,tt0411008
Defying Gravity,tt1319690
Shades of Blue,tt4118584
Beowulf Return to the Shieldlands,tt4520906
The Leftovers,tt2699128
Melissa e Joey,tt1597420
The Beautiful Life,tt1400580
Brooklyn Nine-Nine,tt2467372
The X-Files (Arquivo X),tt0106179
Os Feiticeiros de Waverly Place,tt0799922
Better With You,tt1598876
Three Rivers,tt0108238
Land Girls,tt1449940
Vinyl,tt3186130
CSI New York,tt0065832
Sunny,tt0472954
The Deep End,tt0437745
EndGame,tt1217616
Finding Carter,tt3186138
18 To Life,tt1411254
Scott And Bailey,tt1843678
Unnatural History,tt1494829
Jane By Design,tt1743904
Call Me Fitz,tt1558182
Hawaii Five-O,tt0062568
Lucky Man,tt2945386
Necessary Roughness,tt1657505
Go On,tt2300923
Gilmore Girls,tt0238784
Madam Secretary,tt3501074
The Frankenstein Chronicles,tt4206804
Mad Love,tt0113729
Silicon Valley,tt2575988
The Mysteries of Laura,tt3187578
Jericho (2016),tt5178604
State Of Georgia,tt1786704
Raising Hope,tt1615919
Legend Of The Seeker,tt0844653
Dragon Ball Z e Gt,tt0214341
Twisted,tt2355844
Bones,tt0460627
Mozart in the Jungle,tt3502172
Bates Motel,tt2188671
Burn Notice,tt0810788
La Femme Nikita,tt0100263
The King Of Fighters,tt1038685
Zack e Cody Gemeos a Bordo,tt1181917
The 4400,tt0389564
Luther,tt1474684
State Of Play,tt0473705
The L Word,tt0330251
Perception,tt1714204
Hustle,tt0379632
Blood and Oil,tt4428022
The River,tt1836195
Doctor Who,tt0436992
What Remains,tt2649588
Partners,tt2994108
Chasing Life,tt2399794
Close To Home,tt0460631
The Gates,tt1599357
The Big C,tt1515193
Todo Mundo Odeia o Chris,tt0460637
Huge,tt1591511
Zombieland: The Series,tt2090440
Killjoys,tt3952222
CSI Cyber,tt3560060
We Are Men,tt2372182
Testing,tt4694578
Continuum,tt1954347
Marry Me,tt3460454
12 Monkeys,tt3148266
Parks and Recreation,tt1266020
Hit And Miss,tt5527442
True Love,tt2065460
Zero Hour,tt2215797
Manhattan,tt0800369
DCs Legends of Tomorrow,tt4532368
Inside The Medieval Sex,tt1245423
Jane The Virgin,tt3566726
Rectify,tt2183404
A Gifted Man,tt1820742
The Cape,tt1593823
Chaves,tt0229889
Destaques,tt0231844
Ripper Street,tt2183641
Naruto Shippuden,tt0988824
Limitless,tt4422836
Ghost Whisperer,tt0460644
Outlander,tt3006802
black sails,tt2375692
Selfie,tt3549044
About A Boy,tt0276751
Motive,tt2443340
Luck,tt1578887
Agent Carter,tt3475734
The Fosters,tt2262532
Primeval,tt0808096
Devious Maids,tt2226342
Hart Of Dixie,tt1832979
Dead Like Me,tt0348913
The Secret Life of the American Teenager,tt1179817
Web Therapy,tt1930123
Wicked City,tt4428124
Chasing Shadows,tt3585270
Archer,tt1486217
The Lizzie B. Chronicles,tt4145760
Matador US,tt0077051
Free Agents,tt1839481
Monday Mornings,tt2217759
Cracked,tt2078576
Friday Night Lights,tt0758745
Backstrom,tt2099034
Mike e Molly,tt1608180
Saving Grace,tt0830900
The Last Kingdom,tt4179452
Missing,tt1828246
War and Peace,tt3910804
Sex and The City,tt0159206
Rosewood,tt4465472
Mad Men,tt0804503
Vicious,tt2582590
How To Be A Gentleman,tt1839497
Castle,tt1219024
Law e Order: Special Victims Unit,tt0203259
The Killing,tt1637727
Californication,tt0904208
Coupling,tt0237123
Miami Medical,tt1406662
Ballers,tt2891574
Betther Off Ted,tt1235547
Broadchurch,tt2249364
Grimm,tt1830617
Meta,tt3247714
Satisfaction,tt3205236
Faking It,tt3127020
Murder On The Home Front,tt2569792
Colony,tt4209256
Parenthood,tt1416765
United States of Tara,tt1001482
Glee,tt1327801
Pretty Dirty Secrets,tt2511044
The Shannara Chronicles,tt1051220
Riese: Kingdom Falling,tt1542543
Clipped,tt2361094
Longmire,tt1836037
Ray Donovan,tt2249007
The Strain,tt2654620
Shit My Dad Says,tt1612578
Graceland,tt2393813
Ringer,tt1819654
In Plain Sight,tt0935095
Banshee,tt2017109
Development,tt4888440
The L.A. Complex,tt1794147
Happily Divorced,tt1830622
Seinfeld,tt0098904
Awake,tt0211933
Will And Grace,tt0157246
The Take,tt2368619
Doutor House,tt2492714
Billions,tt4270492
Bleach,tt0434665
Unforgettable,tt3462710
Trust Me,tt2421416
Happy Endings,tt1587678
Os Pinguins de Madagascar,tt1911658
Southland,tt1299368
Cavemen,tt2378884
Brilhante Victoria,tt1604099
Whitney,tt1850458
The X Factor,tt0423776
How to Make It in America,tt1299365
The Glades,tt1552112
House of Lies,tt0758774
Joan Of Arcadia,tt0367345
Numbers,tt0433309
Elementary,tt2191671
The Amazing Race,tt0285335
Pretty Little Liars,tt1578873
Alias,tt0285333
Damages,tt0914387
Minority Report,tt0181689
Southcliffe,tt2446726
Looking,tt2581458
24 Horas,tt0285331
Kingdom Hospital,tt0324864
Brothers e Sisters,tt4971344
Penny Dreadful,tt2628232
Fargo,tt2802850
The Vampire Diaries,tt1405406
In Treatment,tt0835434
Red Band Society,tt3576794
Human Target,tt1439741
Heroes Reborn,tt3556944
